sku,name,price,product_type,outlet_size_inch,head_meter,floater,body_material,brand,voltage_phase
102000687,کفکش 3 اینچ 30 متری,0,کف‌کش,3.0,30.0,,,,
102000688,کفکش 1 اینچ 12 متری فلوتردار,0,کف‌کش,1.0,12.0,فلوتردار,,,
102000689,کفکش 1 اینچ 12 متری ساده,0,کف‌کش,1.0,12.0,ساده,,,
102000690,کفکش 1 اینچ 32 متری فلوتردار,0,کف‌کش,1.0,32.0,فلوتردار,,,
102000691,کفکش 1 اینچ 32 متری ساده,150000000,کف‌کش,1.0,32.0,ساده,,,
102000692,کفکش 1 اینچ 45 متری فلوتردار,0,کف‌کش,1.0,45.0,فلوتردار,,,
102000693,کفکش 2 اینچ 16 متری فلوتردار,0,کف‌کش,2.0,16.0,فلوتردار,,,
102000694,کفکش 2 اینچ 16 متری ساده,160000000,کف‌کش,2.0,16.0,ساده,,,
102000695,کفکش 2 اینچ 22 متری فلوتردار,0,کف‌کش,2.0,22.0,فلوتردار,,,
102000696,کفکش 2 اینچ 39 متری ساده,0,کف‌کش,2.0,39.0,ساده,,,
102000697,کفکش 2 اینچ 50 متری ساده,300000000,کف‌کش,2.0,50.0,ساده,,,
102000698,کفکش 2 اینچ 65 متری ساده,320000000,کف‌کش,2.0,65.0,ساده,,,
102000699,کفکش 4 اینچ 40 متری سه فاز,0,کف‌کش,4.0,40.0,,,,سه‌فاز
1020006100,کفکش 3 اینچ 80 متری,0,کف‌کش,3.0,80.0,,,,
1020006101,کفکش 1 اینچ 17 متری فلوتردار,0,کف‌کش,1.0,17.0,فلوتردار,,,
1020006102,کفکش 2 اینچ 40 متری,250000000,کف‌کش,2.0,40.0,,,,
1020006103,کفکش 2 اینچ 85 متری,0,کف‌کش,2.0,85.0,,,,
1020006104,کفکش 1 اینچ 34 متری,0,کف‌کش,1.0,34.0,,,,
1020006105,کفکش 1 اینچ 42 متری فلوتردار,0,کف‌کش,1.0,42.0,فلوتردار,,,
1020006106,کفکش 2 اینچ 52 متری,0,کف‌کش,2.0,52.0,,,,
1020006107,کفکش 1 اینچ 85 متری,350000000,کف‌کش,1.0,85.0,,,,
1020006108,کفکش 1 اینچ 80 متری,0,کف‌کش,1.0,80.0,,,,
1020006109,کفکش 1 اینچ 40 متری,200000000,کف‌کش,1.0,40.0,,,,
1020006110,کفکش 2 اینچ 54 متری,300000000,کف‌کش,2.0,54.0,,,,
1020006111,کفکش 1 اینچ 10 متری,0,کف‌کش,1.0,10.0,,,,
1020006112,کفکش 2 اینچ 20 متری,150000000,کف‌کش,2.0,20.0,,,,
1020006113,کفکش 1 اینچ 20 متری,0,کف‌کش,1.0,20.0,,,,
